FID,DNA_ID,Sample_ID,TDMilk,TDFat,TDPro,TDSCCS,Fat,Protein,Lactose,Solids,SNF,Urea,FPD,SCC
153,201148310021_R09C01,169,4,4.8,3.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA
2,201148310012_R01C02,1414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,201148310012_R02C01,4080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,201148310012_R03C01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,201148310012_R04C01,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,201148310012_R05C01,1408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,201148310012_R06C02,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,201148310012_R07C01,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,201148310012_R08C02,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,201148310012_R09C02,1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,201148310012_R11C01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,201148310010_R01C01,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,201148310010_R02C01,1265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,201148310010_R03C01,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,201148310010_R03C02,9100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,201148310010_R04C01,1305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,201148310010_R05C02,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,201148310010_R06C02,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,201148310010_R07C02,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,201148310010_R08C01,1422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,201148310010_R09C01,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,201148310010_R10C01,1267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,201148310010_R10C02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,201148310010_R11C01,967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,201148310010_R11C02,9400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,201148310007_R03C01,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,201148310007_R08C02,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,201148310007_R09C01,1447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,201148310007_R09C02,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,201148310007_R10C02,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,201148310007_R11C01,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,201148310007_R11C02,1464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,201148310004_R06C01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,201148310004_R07C02,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,201148310004_R12C02,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,201148310008_R01C02,957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,201148310008_R04C01,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,201148310008_R08C02,952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,201148310008_R09C01,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,201148310008_R09C02,980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,201148310008_R10C01,1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,201148310008_R10C02,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,201148310008_R11C01,1415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,201148310008_R12C01,1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,201148310008_R12C02,1340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
